score,user,message,date,thumbs_up,reply_content
5,Herman Ramli,"Aplikasinya bagus cocok untuk yg mencari pekerjaan & sangat membantu terutama claim manfaat tunai, tolong update Aktivitas pelatihan di setiap provinsi. Tks",2025-05-15 17:56:38,10,
5,lili mardiana,"Aplikasi SIAPkerja membantu banget untuk aku yang belum punya kerjaan. Banyak lowongan pekerjaan yang bisa dipilih sesuai kemampuan kita, selain itu ada program pelatihan juga untuk mengasah kemampuan sembari kita mencari pekerjaan.",2023-01-17 04:49:25,69,
5,Jennifer Jocelyn,"Aplikasi ini cukup bagus dan sangat membantu, dikarenakan dalam aplikasinya terdapat fitur pelatihan kerja dengan segala bidang, serta adanya informasi yang lengkap mengenai lowongan pekerjaan. Semoga kedepannya SIAPkerja dapat menyediakan fitur-fitur yang lebih canggih lagi untuk mempermudah masyarakat.",2023-01-20 08:29:35,20,
5,Valentina Simanjuntak,"Aplikasi ini sangat membantu saya dalam mencari info lowongan kerja yang tersedia. Aplikasinya juga mudah digunakan dan ga ribet.. selain itu juga ada banyak pilihan pelatihan untuk meningkatkan kemampuan kita dalam dunia kerja, terimakasih aplikasi SIAPkerja.",2023-01-21 09:55:15,19,
5,Ahmad Ali,"aplikasi ini sangat membantu seorang freshgraduate seperti saya, selain lowongan pekerjaan yang bisa di apply, aplikasi ini menyediakan fitur pelatihan kerja, semoga aplikasi ini bisa berkembang lebih baik lagi dan bisa membantu orang lebih banyak lagi",2023-01-20 08:24:06,1,
5,Syachbillah Wayan,"Aplikasi yg sangat menarik dan bermanfaat, fiturÂ² yg disajikan membantu untuk mencari informasi seputar pekerjaan selain itu dapat membantu untuk meningkatkan skill dengan adanya pelatihanÂ² agar siap bersaing di dunia kerja.",2023-01-22 11:16:00,0,
5,Ramli Luqky,Aplikasinya sangat membantu dan sangat mudah dipahami. Banyak fitur fitur yang bisa dimanfaatkan dan diambil ilmu nyaa. Thanks SIAPkerja sudah menjadi aplikasi yang sangat berguna dan bermanfaat,2023-01-08 09:36:12,0,
5,Muhajrin. T,"Aplikasinya cukup bagus. Aplikasi menyediakan layanan yang terbagi menjadi layanan utama, umum, perusahaan, dan mitra pelatihan. Tersedia informasi pelatihan kerja, lowongan kerja, magang, dsb. Aplikasi ini akan lebih baik jika terus diupgrade grafis dan dibersihkan bugnya.",2022-12-25 13:02:29,9,
5,Zyahwa Aprilia,"Aplikasi SIAPkerja sangat membantu, tidak hanya membantu orang yang sedang mencari kerja ataupun fresh graduate tapi juga kepada mahasiswa yang ingin mengikuti pelatihan kerja. Ada info lowongan pekerjaan, magang, dsb. Terima kasih SIAPkerja.",2023-01-19 12:01:23,3,
5,Ervinda Ervu,Aplikasi ini sangat membantu dalam memudahkan mencari lowongan pekerjaan dengan dilengkapi fitur-fitur yang mudah diakses dan berisi informasi yg dibutuhkan oleh pencari kerja sehingga menjadikan aplikasi ini sangat keren dan favorit tentunya.,2023-01-23 10:52:24,0,
5,Alice,"UI/UX nya menarik dan fungsional, ada pelatihan juga, banyak lowongan pekerjaan yang memudahkan saya untuk mencari pekerjaan. Recommended banget buat freshgraduate dan pejuang loker.",2023-01-15 13:41:46,6,
5,Siti Jumiati,"Aplikasi ini friendly user dan fitur nya bagus banget ada banyak pelatihan kerja, dan lowongan magang maupun kerja. Terima kasih aplikasi SIAPkerja sudah membantu kita untuk siap kerja dan mencari pekerjaan",2023-01-11 07:41:49,1,
5,Wawan Sutiaa,"terimakasih atas aplikasinya,,tapi saya bukan untuk cari kerja,tapi untuk memberikan dan mengajarkan teknik,meningkatkan. hasil padi yg memuaskan itu,untuk seluruh rakyat petani padi,,agar ada perubahan yg cepat dan dapat membantu perekonomian yg lebih baik,,",2024-10-19 02:47:42,28,
5,Kholil Ismail,"Aplikasi SIAPkerja sangat bagus dan rekomendasi, membantu untuk yang belum mempunyai pekerjaan. Dengan adanya aplikasi ini dapat melihat peluang-peluang serta informasi mengenai lowongan pekerjaan yang dibutuhkan.",2023-01-21 07:31:58,0,
5,Yondu Evo,Sangat membantu sekali karena memberi info pelatihan.. Kepada pengguna agar lebih siap dan matang dalam bidang pekerjaan yg diinginkan.. Semoga kedepannya bisa lebih baik dan berkembang aplikasinya.. Trimakasih SIAPkerja.. â˜ºâ˜º,2023-01-06 07:25:03,9,
5,Prama Ajidin,"Tidak seperti aplikasi lainya, pada aplikasi ini memiliki fitur fitur yang menjadi keunggulan sendiri. Dengan begitu saya bisa mendapatkan informasi secara cepat dan tepat terkait lowongan kerja yang kami inginkanm",2023-01-18 08:19:05,0,
5,Aniyah Johnston,"aplikasinya sangat membantu untuk mencari lowongan pekerjaan,banyak juga informasi-informasi pekerjaan yang ada sesuai dengan bidang yang kita kuasai.semoga bisa tambah terus berkembang dan bisa membantu untuk semuanya ğŸ¤—ğŸ¤—",2023-01-15 13:06:49,0,
5,Dita Pratiwi,"Aplikasi ini bantu aku banget buat tau info lowongan pekerjaan, jadi memudahkan banget kalau mau nyari Informasi tentang magang, lowongan, magang, dll. Tampilan aplikasi nya juga baguss, Terima kasih SIAPkerja!",2023-01-08 09:03:14,0,
5,Ais Aisyun,"Bintang 5 buat SIAPkerja by Kemnaker, fitur nya banyak bgt, buat fresh graduate bisa bgt mau persiapan skill dgn pelatihan2 yg disediakan atau mau langsung apply pekerjaan sesuai bidang juga tersedia. Mantap!",2023-01-11 10:38:09,0,
5,Nur Fajriah Shulhusiah,Rekomendasi buat para pencaker. Karena aplikasinya memudahkan sekali untuk mencari pekerjaan. Fitur aplikasinya sangat mudah dipahami dan lengkap. Terima kasih SIAPkerja~,2023-01-11 11:27:44,0,
5,Sri Indriyani,Terima kasih siap kerja. Berkat aplikasi ini aku bisa mencari lowongan pekerjaan sesuai dengan basic aku. Rekomendasi banget untuk teman-teman yang masih bingung mencari lowongan pekerjaan. Aplikasi siap kerja akan membantu kalian memudahkan proses pencarian loker. Perfect banget deh,2023-01-17 05:04:26,0,
5,Najmul Akhir,"Aplikasinya keren. Sangat membantu dalam mencari lowongan kerja, fitur yang tersedia lengkap, overall sangat memuaskan. Wajib diunduh aplikasi ini ya teman teman...",2023-01-22 18:01:07,1,
5,Ellesia Sera,"Aplikasi siapkerja ini bener bener membantu banget bagi aku yang lagi cari kerja dan lama belum dapet kerjaan, diapk ini banyak banget lowongan kerja yang beragam dan sesuai skill yang ada , makasih banyak siap kerja!",2023-01-08 09:06:07,1,
5,Naya 1022,"Applikasinya sangat membantu sekali, terimakasih siap kerja memudahkan saya mencari info lowongan pekerjaan selain itu banyak informasi menarik mengenai pelatihan dan pengembangan diri agar kita lebih siap masuk ke dunia kerja recommended sekali",2023-01-17 07:57:29,0,
5,FTK_Iman Sinergi,"makasih siapkerjaa, didalem appsnya nih banyak macem pelatihan mana banyak yang gratis pula jadi kebantu banget buat aku yang fresh grad buat nyari ilmu lagi, aplikasi ini juga mempermudah saya untuk mencari pekerjaan",2023-01-17 06:59:04,2,
5,Ikhda Annisa,"Aplikasi SIAPkerja sangat bagus, apalagi banyak fitur-fitur yang menurut aku sangat membantu bagi aku yang belum punya pengalaman kerja. Dan juga gunain aplikasinya nggak ribet.",2023-01-20 21:47:20,2,
5,393_Asriani Annisa Amran,"makasih banget buat aplikasi siapkerja ini, membantu banget untuk aku yang belum punya kerjaan karna disini banyak lowongan-lowongan, ui ux nya juga keren banget dan pastinya user friendly",2023-01-18 03:24:38,0,
5,Pramadita Renanda,"Aplikasinya bagus karena banyak pelatihan buat peningkatan kompetensi, job opprtunity, dan lowongan pekerjaan. Makasih siapkerjaağŸ‘",2022-12-21 15:16:38,4,
5,Azzahra Salsabila,Aplikasi SIAPkerja sangat cocok digunakan bagi saya yang belum memiliki pengalaman kerja. Banyak lowongan pekerjaan yang bermacam-macam. Dan terdapat banyak pelatihan juga yang dapat dimanfaatkan dalam proses persiapan sebelum bekerja.,2023-01-21 14:50:32,0,
5,Monica Rizky Tiarasari,"Aplikasi ini bagus banget, sangat membantu aku yg belum dapet kerja dan lagi cari info lowongan. Fiturnya simpel jadi mudah buat dimengerti. Terima kasih siap kerja sudah membantu saya dalam mencari lowongan pekerjaan.",2023-01-18 03:43:42,0,
5,Aurelia Anindhita A 3,tampilan aplikasinya menarik dan isi dari aplikasinya sangat membantu bagi para pencari kerja dan bagi teman-teman yang ingin meningkatkan skill karena terdapat banyak course gratis yang dapat diikuti,2023-01-21 06:14:59,0,
5,Anindya Prima Nirmanda,"Memudahkan saya untuk mencari pekerjaan. Apk ini sangat bermanfaat untuk para freshgraduates seperti saya yg ingin cari pekerjaan. Akhirnya ada apk yang bermanfaat untuk Indonesia dalam memberantas angka pengangguran, the best Siapkerja! ğŸ”¥",2023-01-18 02:52:29,0,
5,Agnes Andrian,"aplikasinya sangat mempermudah, mulai dari aktivasi hingga fitur-fitur didalamnyaa, tidak hanya untuk pencarian kerja namun untuk pengembangan skill hingga memperluas kesempatan kerja pada tenaga kerja",2023-01-15 04:00:14,1,
5,Haura azz,"aplikasi yang sangat membantuu karena meberikan info seputar pelatihan, lowongan kerja dll. selain itu, penggunaannya cukup mudah dimengerti. terima kasih banyak SIAPkerja",2023-01-22 11:17:00,0,
5,Nur Fajriah Shulhusiah,Aplikasi nya sangat membantu untuk mencari pekerjaan. Fitur lengkap dan user friendly. Pertahankan terus kualitasnya soalnya recommended banget untuk para pencaker,2023-01-11 11:30:38,0,
5,Alinka Najwa,"aplikasinyaa sangat mudah digunakan, terdapat pelatihaan dan lowongan pekerjaan yang beragaam. terimakasih dan semangaattt pejuangg cuaan!!",2023-01-18 13:10:20,1,
5,Syahrul Rahmadani,Tampilannya mudah dimengerti. Aplikasinya sangat membantu terutama untuk informasi lowongan pekerjaan dan peningkatan skill yang dimiliki.,2023-01-21 02:53:25,0,
5,Ratna Gery,"Saya kehilangan SIM card ,dan saya mendaftar untuk pembuatan id recom menggunakan nomor tersebut,lebih parahnya saya juga lupa dengan email nya..saya harus bagaimana? Alhasil saya kesulitan masuk, Padahal saya sangat membutuhkan nya..",2023-06-07 10:33:14,0,
5,Sulistri Ningsih,"Aplikasikasih ini, sangat bermanfaat bagi para kerja, karna aplikasi ini menyediakan program pelatihan pra kerja gratis dari pemerintah, sangat membantu banget untuk kita, untuk menambah skill lagiğŸ¥°",2024-06-27 06:42:14,20,
5,silfionitaa,"terimakasih atas lowongannya, sangat memudahkan banget aplikasi siap kerja ini..semenjak ada aplikasi ini saya jadi merasa terbantu yg belum kerja ini terimakasi siap keerja",2023-01-11 10:32:55,0,
5,Nur Azizah,"Aplikasi SIAPkerja sangat membantu sekali untuk mencari informasi lowongan pekerjaan, banyak tips dan kursus online gratis untuk meningkatkan kemampuan, sehingga membuka banyak peluang yang lebih luas bagi saya untuk mendapatkan layanan ketenagakerjaaan",2023-01-17 08:42:11,0,
5,Kurnia Ramadhanty,Aplikasinya bagus banget loh. Beneran membantu banget bagi orang yang lagi mencari pekerjaan. Terus juga terdapat banyak pelatihan supaya bisa lebih siap untuk bekerjaa,2023-01-08 10:22:21,0,
5,Erina Alfi,"Aplikasinya sangat bagus, cocok untuk orang yang sedang mencari pekerjaan. Terdapat fitur-fitur dan informasi yang menarik dan mudah dipahami.",2023-01-23 08:57:03,0,
5,Mia Lestari Puji Astuti,"Aplikasinya sangat membantu sekali untuk mencari lowongan pekerjaan, terimakasih siap kerja, berkat aplikasi ini saya tidak kesusahan lagi mencari pekerjaan.",2023-01-08 09:27:25,0,
5,siti nur fatimah,"Aplikasi nya sangat bagus sekali karena berisi banyak informasi terkait lowongan pekerjaan, fiturnya jg sangat mudah dipahami, terima kasih SIAPkerja",2023-01-18 02:50:07,0,
5,elmi 22,"Terima kasih banyak, aplikasi ini sangat bermanfaat dan membantu sekali bagi saya yang mencari lowongan pekerjaan, semoga kedepannya bisa lebih ditingkatkan, tapi over all sudah sangat membantu...",2023-01-15 20:17:50,0,
5,Najmi Firdaus,"Aplikasinya baguss banget, sangat membantu untuk saya yang sedang mencari pekerjaan, banyak informasi serta fitur fitur yang memudahkan saya untuk menggali informasi, terima kasih Siapkerja",2023-01-20 10:03:23,0,
5,Novi Fitriyani,semudah ini kita bisa nyari perkerjaan hanya di aplikasi siapkerja. banyak macam macam jenis kerjaannya dan diaplikasi ini di sediakan pelatihan yang berstandar SKKNI. keren deh aplikasi ini,2023-01-05 07:25:42,0,
5,Evi Fatimah,"Aplikasi ini sangat membantu bagi para pencari kerja, ada informasi lowongan pekerjaan dan juga pelatihan kerja. Fiturnya juga mudah dipahami.",2023-01-11 07:55:43,1,
5,putri widya,aplikasinya sangat membantu karna memberi layanan yang bermanfaat tentunya dan banyak lowongan kerja juga mantep dah. terimakasih SIAPkerja,2023-01-08 09:27:56,0,
5,Kiki Pauzi,"Aplikasi nya bagus tapi kalo mencet pusat bantuan langsung diarahkan ke web, dan web tersebut seringkali error tidak dapat loggin.",2023-01-30 03:06:59,0,
5,Dhea Nira,"sangat berterimakasih sama aplikasi SIAPkerja soalnya sangat ngebantu aku yg blum punya kerjaan, info lowongannya bejibun tinggal pilih aja sesuai kebutuhan",2023-01-05 05:25:13,0,
5,Tahra Aulia,"Aplikasi mantep banget soalnya fitur fiturnya keren jadi membantu saya mencari kerja, terus fitur pelatihanku juga kereennn",2023-01-24 11:14:47,0,
5,Mahyatul Uyun,"Sejak ada aplikasi ini nyari lowongan kerja ga usah keluar rumah ngabisin ongkos atau bensin. Cukup scroll dan lamar disini.. terimakasih info lowongan nya, sangat membantu saya",2022-12-21 21:56:02,0,
5,Marwan,"Aplikasi yg memudahkan kita menemukan pekerjaan yg cocok dg skill kita, ada pelatihan kerja nya juga. Membantu banget sih, kembangkan lagi ğŸ‘ğŸ‘",2023-01-06 07:10:37,0,
5,Alma Vionita,"Aplikasinya bagus sangat membantu untuk yang sedang mencari pekerjaan termasuk aku yang belum punya pekerjaan, terimakasih info lowongannya. Makasih siapkerja",2023-01-05 06:00:04,0,
5,ADAM ARI WIBOWO,"Ini kenapa klaim ke-6 statusnya masih tahap ""Sedang Mempersiapkan Berkas"" ??? nyoba ""hubungi contact center"" tapi malah ditutup telponnya tidak di angkat ..????",2025-03-17 07:21:24,168,
5,Firman Hidayat,"Aplikasi yang dikemas secara rapi dan sempurna, fitur fitur dalam desain yang elegant membuat semangat untuk membukanya, Terima kasih siap kerja!",2023-01-18 11:57:57,0,
5,Asyabil,"Aplikasi yang sangat bagus dan bermanfaat, tampilannya juga tidak membosankan. Semoga kedepannya aplikasi ini bisa terus berkembang dan lebih baik lagi ğŸ‘ğŸ»",2023-01-20 04:14:09,0,
5,Erwin Magfiroh,"Apknya mudah digunakan fitur2nya sangat banyak, daftar akunya mudah sangat membantu buat saya yang fresh graduate buat cari info loker disini, terimakasih siap kerja",2023-01-17 08:35:47,0,
5,Tania Tan,"Terimakasih siap kerja, sangat membantu saya yang kebetulan susah mencari kerjaan. Fitur-fiturnya juga mudah dimengerti, mantaplah.",2023-01-18 02:48:44,0,
5,Yanti Minang,trimakasihhh untuk akun siap kerja.yg udh memberikan motivasi buat aq.selalu tingkatkan kualitas terbaik nya.gk ada iklan.jdi pas digunagan tidak terganggu.yg buat cari kerja pas bnget sma akun siap kerja ini.jngn ragu buat install,2024-10-02 04:46:39,4,
5,Fifi SYC,"Terdebest lah, apk siap kerja sangat membantu mencari info loker plus mudah dipahami apknya, gaada kendala apapun. Thankyou..",2022-12-21 15:33:36,0,
5,Reisa Febrianti,"App nya bagus ,memudahkan aku untuk mencari kerjaan ada pelatihan nya juga bener2 ngabantu aku,terimakasih banyak siapkerja.",2023-01-11 10:38:07,0,
5,Muhammad Maisaan Taufiiq,"aplikasinya sangat mudah digunakan, terdapat banyak sekali lowongan kerja disini dan juga tersedia juga pelatihan pelatihan yang dapat meningkatkan skill dan value dari diri kita agar lebih siap memasuki dunia karir",2023-01-15 05:55:58,0,
5,siti,"Sangat memudahkan untuk mencari info lowongan kerja, selain itu juga aplikasinya mudah dimengerti. Terima Kasih SIAPkerja!!",2023-01-17 07:17:33,0,
5,Dhimas Satya Yunanto,"Sudah cukup baik, tinggal diperbaiki perihal karirhub nya agar tidak perlu diarahkan kembali ke google chrome disaat ingin mencari pekerjaan nya",2024-09-01 21:17:31,0,
5,Anisa Zahra,"aplikasi bermanfaat! sangat membantu saya untuk mencari pekerjaan, mengikuti ikut pelatihan, dan berbisnis. thankyou siapkerjağŸ˜ğŸ‘ğŸ»",2023-01-16 05:51:38,0,
5,Anang Supriyadi,"Sangat membantu dalam memberikan penjelasan dan info buat pencari pekerjaan , trimah kasih",2025-05-03 03:03:19,0,
5,sari Ulfa,Aplikasinya bagus utk peningkatan skill karena ada pelatihan' yang bisa diikuti dan pastinya mudah digunakan.,2023-01-08 09:25:52,0,
5,Melsy Handayani,Aplikasi siap kerja ini bermanfaat terutama bagi yang belum punya pekerjaan karena di aplikasi ini sudah sediakan program pelatihan pra kerja secara gratis dari pemerintah untuk mengasah skil sesuai dengan bidang yang kita pilih sembari kita mencari pekerjaan,2024-06-27 07:10:34,7,
5,Saiful Ari Mustofa,"Berkat aplikasi siapkerja, sekarang udah dapet kerjaan. Membantu banget. Terimakasih untuk penyediaan lowongan pekerjaan nya . Thanks",2023-01-08 09:04:36,1,
5,Rida Nadia Salsa Bila,"Aplikasi sangat membantu sekali, fitur mudah dipahami tidak belibet. So, jangan ragu buat download aplikasi ini.",2023-01-18 18:08:48,0,
5,Puji Astuti,"Dengan adanya aplikasi ini saya jadi lebih mudah untuk mencari lapangan pekerjaan, makasih siap kerja udah nyediain apk ini..",2023-01-17 05:37:55,0,
5,aerola girnanta,"Sebagai jobseeker dan fresh grad, aplikasi ini ngebantu banget buat cari pekerjaan:') memudahkan banget aplikasinyaa!",2023-01-16 07:33:54,0,
5,azzahra,"Aplikasi nya membantu orang-orang untuk mencari pekerjaan, banyak lowongan yang tersedia dipajang dan diakses dengan mudah.",2023-01-21 13:05:04,2,
5,Chairul iqsan,Ada apk namanya Siapkerja appnya bagus banget loh dan fitur di dalam apknya lengkap dan mudah digunakan juga dan memudahkan kita untuk mencari Pekerjaan Juga Terimakasih ğŸ™,2023-01-15 13:13:40,0,
5,Khaira Farah,"Thanks mimin, aplikasinya berguna banget untuk aku yang belum punya pekerjaan. Jadi aku gampang tau info-info lowongannya, makasih siapkerjaâ¤ï¸",2023-01-11 10:45:18,0,
5,Yoga Handrico,Aplikasi ini sangat membantu buat para jobseeker. Fitur-fitur yg disediakan juga cukup lengkap dan mudah dipahami,2023-01-24 12:00:24,0,
5,Hariyati,"Makasih siap kerja, info lowongam kerjanya lengkap banget. Fitur-fitur di aplikasinya juga mudah dipahami",2023-01-18 03:37:18,0,
5,Risaa,"Aplikasinya sangat membantu banget buat aku yang saat ini belum punya pekerjaan , info lowongan yang dishare pun juga banyak. Terimakasih siapkerja",2023-01-05 06:12:43,0,
5,Murfariawati,"Aplikasinya bagus, banyak pelatihan buat meningkatkan skill bekerja dan lowongan pekerjaan.",2023-01-11 09:21:55,1,
5,Vikra Shafwa,"Aplikasinya mudah banget dipahami, cocok untuk mencari pekerjaan. Terimakasih siapkerja sangat membantu sayağŸ‘",2023-01-15 14:56:24,0,
5,Aisyah zahra Dwi Andini,"Aplikasi ini sangat bermanfaat bagi para pekerja, karena aplikasi ini menyediakan program pelatihan pra kerja gratis dari pemerintah,dan sengat membantu untuk menambah skill kita",2024-07-19 07:48:25,0,
5,yusuf muhammad,"Ini aplikasi SIAPkerja benar-benar sangat bermanfaat buat yang lagi butuh kerja, banyak informasi yang berguna dalam mencari kerja, sangat recommended ğŸ‘ Terimakasih SIAPkerja.",2023-01-11 10:52:57,0,
5,Ryuko Karumei,Terimakasih banyak aplikasi ini sangat membantu sekali dalam mencari pekerjaan. Banyak sekali lowongan pekerjaan yang tersedia. Terimakasih saya terbantu dengan adanya aplikasi ini.,2023-01-16 06:54:06,0,
5,Rahma Aura Nisa,"aplikasi ini sangat membantu untuk mencari informasi perkerjaan dengan cepat, apalagi dengan fitur-fitur yang menarik dan mudah dimengerti",2023-01-18 13:44:14,0,
5,Angga Tricuna Dewa Siburian _24_032,"Ngebantu banget untuk aku yang belum punya pekerjaan , appnya memberikan info pelatihan dan menyediakan lowongan pekerjaan. Makasih siapkerjaa !",2023-01-08 09:25:52,0,
5,Agnan Rama,"Aplikasi sangat membantu untuk mempermudah mencari informasi terkait lowongan kerja, fitur""nya juga menarik",2023-01-20 22:51:50,0,
5,Rima Syfa Nurfadillah,"terima kasih info lowongan kerjanya, berkat aplikasi ini saya jadi mudah untuk mencari lowongan kerja yang sesuai dengan skill saya, recommended banget aplikasinyağŸ¤©",2023-01-17 07:23:44,0,
5,Mirela Nata,"Aplikasinya sangat bagus buat aku yang baru lulus dan butuh banget pekerjaan. Apknya sangat membantu buat nyari"" kerja. Terimakasih info lowongan kerjanya",2023-01-17 08:22:47,0,
5,Patricia Erika,Terobosan baru. Membantu banget bagi pencari kerja atau yg memerlukan tambahan ketrampilan supaya bisa berdikari atau terampil bekerja,2023-01-11 10:54:12,0,
5,Kasdi Kasdi,Aplikasi ini memudahkan saya dalam mencari perkerjaan dan info lowongan kerjanya juga banyak. terimakasih apk siapkerja ğŸ‘,2023-01-11 06:03:08,0,
5,Fadhil,"Aplikasi ini sangat membantu dalam mencari info lowongan pekerjaan. Aplikasinya juga cepet dan gampang juga digunainnya, jadi buat yang baru download gak bakal kebingungan",2023-01-19 02:44:00,0,
5,Noviani Rahmah,"Keren banget aplikasinyaa, sangat membantu dan bisa digunakan dengan mudah. Keamanan datanya juga terjamin. Kerennn gak nyesel download",2023-01-24 23:06:29,0,
5,Reyna naa,Aplikasi nya sangat bagus dan mudah dipahami. Banyak fitur yang bisa membantu. Pokonya terimakasih siapkerja sangat membantu.,2023-01-08 08:58:49,3,
5,Sandra Tania,"Aplikasinya sangat membantu buat orang-orang yang lagi cari/butuh pekerjaan, soalnya banyak info soal lowongan pekerjaan. Recommended ğŸ‘Œ",2023-01-22 12:51:37,0,
5,Vania Indrita,"Menurut saya, aplikasi SIAPkerja ini dapat mempermudah ekosistem ketenagakerjaan indonesia dan meningkatkan kualitas ketenagakerjaan indonesia. Good job.",2023-01-19 14:09:07,0,
5,nancy's,"aplikasi yang sangat berguna , banyak lowongan pekerjaan, sangat membantu untuk mencari lowongan pekerjaan, thanks banget buat siapkerjağŸ¥°",2023-01-06 09:10:11,2,
5,Silvi Eka,"Terimakasih, aplikasinya sangat membantu dalam mencari lowongan pekerjaan, dan banyak lowongan pekerjaan yg ada di aplikasi.",2023-01-11 10:35:42,3,
5,Wins Project,Aplikasi mudah digunakan. Loker yang tersedia juga banyak & terbaru. SIAPkerja membantu banget untuk aku yang belum punya kerjaan. Terima kasih info lowongannya.,2022-12-23 03:30:05,0,
5,Chesi Deviaksa Yahya,"Aplikasinya sangat mudah untuk diakses, informatif seputar pekerjaan dan sangat membantu bagi ara pencari pekerjaan yang sesuai",2023-01-15 05:25:18,2,
5,Samari,"Aplikasinya ngebantu banget untuk mencari info lowongan pekerjaan. Makasih SIAPkerja , nsudah memudahkan saya untuk mencari kerjaan.",2023-01-11 06:36:31,1,
5,Yuni Sukarwati,"Akhirnya nemu aplikasi yang ngebantu banget untuk aku yang belum punya pekerjaan , info lowongannya update. Makasih SIAPkerja",2023-01-11 07:06:58,0,
5,Sudarti Usman,"Aplikasinya bagus sangat membantu untuk yang sedang mencari pekerjaan, lowongan yang tersedia juga banyak dan berbagai macam, terima kasih",2022-12-25 13:33:57,2,
5,Silvi Rahmawati,"terimakasih info lowongannya,membantu banget untuk aku yang belum punya kerjaan, aplikasinya juga mudah digunakan,makasih siapkerjaa.",2023-01-05 05:21:37,0,
5,Vanessa Aura,Aplikasi Siap Kerja sangat bermanfaat sekali untuk saya yang baru memulai dan ingin mencari pekerjaan tersedia banyak lowongan pekerjaan dan pelatihan kerja,2023-01-22 05:12:15,0,
5,Mervel Statency,"Aplikasi ini membantu banget buat nyari kerja. Aku yg belum dapat kerja, langsung dapat banyak info loker di aplikasi ini. Makasi siapkerjaa",2023-01-05 05:26:35,0,
